canary															
-1	1991	1992	1993	1994	1995	1996	1997	1999	2002	2004	2005	2006	2007	2008	2009
1960	-1	-1	2.2	2.197	2.197	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.366
1961	-1	-1	1.9	1.968	1.968	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.366
1962	-1	-1	1.8	1.843	1.843	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.366
1963	-1	-1	1.8	1.801	1.801	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.366
1964	-1	-1	2	2.024	2.024	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.349
1965	-1	-1	2.2	2.102	2.102	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25
1966	-1	-1	2.1	2.128	2.128	-1	-1	-1	-1	3.198	3.066	4.05	3.861	2.901	1.107
1967	-1	-1	1.9	1.949	1.949	-1	-1	-1	-1	3.252	3.117	3.987	3.798	2.838	0.927
1968	-1	-1	1.8	1.809	1.809	-1	-1	-1	-1	3.289	3.153	3.897	3.708	2.749	0.757
1969	-1	-1	1.7	1.794	1.794	-1	-1	-1	-1	3.395	3.259	3.873	3.686	2.738	0.681
1970	-1	-1	1.8	1.816	1.816	-1	-1	-1	-1	3.48	3.345	3.868	3.686	2.792	0.619
1971	-1	-1	1.8	1.779	1.779	-1	-1	-1	-1	3.401	3.272	3.885	3.709	2.891	0.573
1972	-1	-1	1.7	1.73	1.73	0.75	0.858	0.763	0.852	3.423	3.302	4.114	3.944	3.166	0.595
1973	-1	-1	2.1	2.058	2.058	1.01	1.202	1.062	1.177	3.827	3.707	4.674	4.503	3.844	0.759
1974	-1	-1	2.1	2.122	2.122	1.08	1.253	1.149	1.275	3.827	3.715	4.889	4.721	4.18	0.85
1975	-1	-1	2.1	2.1	2.1	1.09	1.16	1.116	1.242	3.615	3.512	4.815	4.66	4.198	0.834
1976	-1	-1	1.9	1.959	1.959	1.03	1.129	1.085	1.21	3.4	3.307	4.804	4.664	4.354	0.901
1977	0.894	0.954	1.7	1.48	1.514	0.91	0.994	0.968	1.085	3.051	2.968	4.567	4.442	4.254	0.909
