canary															
8	1967	2014													
1973	-1	-1	2.1	2.058	2.058	1.01	1.202	1.062	1.177	3.827	3.707	4.674	4.503	3.844	0.759
1974	-1	-1	2.1	2.122	2.122	1.08	1.253	1.149	1.275	3.827	3.715	4.889	4.721	4.18	0.85
1975	-1	-1	2.1	2.1	2.1	1.09	1.16	1.116	1.242	3.615	3.512	4.815	4.66	4.198	0.834
1976	-1	-1	1.9	1.959	1.959	1.03	1.129	1.085	1.21	3.4	3.307	4.804	4.664	4.354	0.901
1977	0.894	0.954	1.7	1.48	1.514	0.91	0.994	0.968	1.085	3.051	2.968	4.567	4.442	4.254	0.909
1978	0.816	0.878	1.6	1.39	1.421	0.84	0.888	0.878	0.985	2.739	2.665	4.254	4.146	4.06	0.931
1979	0.659	0.716	1.2	1.103	1.13	0.72	0.77	0.934	1.044	2.798	2.726	4.066	3.979	3.989	1.028
1980	0.704	0.774	1.5	1.353	1.384	0.93	1.085	1.071	1.18	2.923	2.855	4.265	4.203	4.518	1.475
1981	0.758	0.836	1.5	1.375	1.405	0.95	1.114	1.102	1.205	2.859	2.796	4.224	4.178	4.454	1.73
1982	0.731	0.816	1.4	1.343	1.371	0.94	1.057	1.11	1.193	2.628	2.577	4.001	3.973	4.721	2.056
1983	1.089	1.221	2.1	2.056	2.116	1.4	1.733	1.77	1.861	3.628	3.572	4.4	4.411	5.839	3.245
1984	1.17	1.321	2.2	2.093	2.158	1.8	2.162	2.223	2.316	4.296	4.237	4.875	4.913	6.461	4.018
1985	1.238	1.401	2.5	2.371	2.449	2.1	2.137	2.08	2.164	3.991	3.939	4.834	4.88	5.923	3.778
1986	1.132	1.285	2.2	2.166	2.239	1.6	1.701	2.013	2.086	3.74	3.694	4.425	4.469	5.442	3.502
1987	1.247	1.389	2.4	2.309	2.394	2.1	2.386	2.499	2.563	4.257	4.214	4.187	4.235	5.174	3.495
1988	1.163	1.28	2.3	2.221	2.306	2.1	2.405	2.368	2.418	3.876	3.842	3.921	3.972	5.012	3.436
1989	1.097	1.205	2.2	2.19	2.275	1.9	1.963	2.147	2.192	3.487	3.458	3.732	3.786	4.513	3.114
1990	0.926	1.061	2.1	2.118	2.191	1.71	1.812	1.96	2.005	3.161	3.138	3.424	3.481	4.031	2.8
1991	-1	0.907	1.726	1.686	1.735	1.57	1.665	1.898	1.944	3.009	2.99	3.039	3.094	3.551	2.508
1992	-1	-1	1.6	1.52	1.578	1.35	1.394	1.542	1.581	2.46	2.447	2.597	2.652	2.984	2.121
1993	-1	-1	-1	1.262	1.268	1.18	1.232	1.352	1.369	2.139	2.129	2.22	2.274	2.512	1.791
1994	-1	-1	-1	-1	1.055	1	1.068	1.159	1.178	1.842	1.836	1.911	1.964	2.128	1.531
1995	-1	-1	-1	-1	-1	0.754	0.762	0.915	0.927	1.502	1.498	1.556	1.607	1.64	1.149
1996	-1	-1	-1	-1	-1	-1	0.725	0.854	0.831	1.326	1.323	1.368	1.422	1.345	0.922
1997	-1	-1	-1	-1	-1	-1	-1	0.884	0.826	1.295	1.291	1.241	1.301	1.181	0.784
1998	-1	-1	-1	-1	-1	-1	-1	0.807	0.714	1.145	1.142	1.129	1.194	1.066	0.681
1999	-1	-1	-1	-1	-1	-1	-1	-1	0.561	0.969	0.966	1.027	1.095	0.963	0.599
2000	-1	-1	-1	-1	-1	-1	-1	-1	0.482	0.948	0.94	0.962	1.032	0.884	0.576
2001	-1	-1	-1	-1	-1	-1	-1	-1	0.415	0.994	0.978	1.171	1.268	1.049	0.707
2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.521	1.519	1.671	1.822	1.626	1.164
2003	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.65	1.682	1.908	2.083	1.899	1.394
2004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.632	1.846	2.017	1.828	1.334
2005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.606	1.76	1.554	1.096
2006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.39	1.551	1.279	0.87
2007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.398	1.067	0.663
2008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.096	0.558
2009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.435
lingcod															
5	1970	2016													
-1	2000	2003	2005	2009	2017										
1970	-1	-1	47181	44280	37864										
1971	-1	-1	47174	45001	38527										
1972	-1	-1	46823	44305	38624										
1973	23735	35822	46065	42695	38272										
1974	22722	34614	44744	41034	37319										
1975	21728	32747	43063	39752	35760										
1976	20969	30218	40952	38448	34126										
1977	20691	27619	38882	36488	32524										
1978	20446	25378	37113	34622	31531										
1979	19829	23716	35498	32410	30568										
1980	18134	21277	32800	29207	28370										
1981	16547	17958	29049	26132	26887										
1982	15786	15956	26505	23684	27687										
1983	15217	14179	24766	21381	28739										
1984	14010	12538	22763	19193	26453										
1985	12260	10779	20002	16854	22842										
1986	10058	8587	16562	14136	18631										
1987	10039	7853	15074	13135	17671										
1988	9740	7134	13908	11979	17194										
1989	9322	6611	12885	10882	17636										
1990	7876	5875	11230	9392	15594										
1991	6737	5143	9725	8147	13365										
1992	5166	3691	7515	6408	10252										
1993	4686	3148	6522	5491	9656										
1994	4362	2814	6004	4908	9676										
1995	4451	2824	6150	5070	10150										
1996	4679	3117	6664	5698	10547										
1997	4722	3281	7179	6141	10099										
1998	4756	3653	7961	6477	9601										
1999	5724	4935	9576	7420	10708										
2000	6747	6260	11306	8400	11644										
2001	-1	8058	13801	9839	12782										
2002	-1	10261	17316	11533	14008										
2003	-1	-1	22229	13625	15472										
2004	-1	-1	27996	16716	17112										
2005	-1	-1	34017	21388	19109										
2006	-1	-1	-1	26504	20236										
2007	-1	-1	-1	31361	20591										
2008	-1	-1	-1	35635	20523										
2009	-1	-1	-1	39140	20123										
2010	-1	-1	-1	-1	19673										
2011	-1	-1	-1	-1	19977										
2012	-1	-1	-1	-1	21554										
2013	-1	-1	-1	-1	23477										
2014	-1	-1	-1	-1	25040										
2015	-1	-1	-1	-1	26148										
2016	-1	-1	-1	-1	27084										
POP															
5	1956	2016													
-1	1992	1998	2009	2011	2017										
1956	32333	-1	33483	59103.1	6188										
1957	31282	-1	32280	58028	6072										
1958	30233	-1	31161	57419.6	5985										
1959	30174	-1	30732	57282.3	5932										
1960	32116	-1	30451	57598.2	5925										
1961	34982	-1	30606	57284.2	5864										
1962	36892	-1	32342	56259.6	5755										
1963	38796	-1	33959	54465.2	5588										
1964	40128	-1	33573	51762.9	5343										
1965	42219	-1	33217	48822.6	5076										
1966	42555	-1	30673	45083.4	4729										
1967	34086	-1	21904	35014.9	3840										
1968	21300	-1	16061	27492.7	3175										
1969	15220	-1	14180	23075.5	2766										
1970	14897	-1	15863	22743.8	2732										
1971	13613	-1	16683	22032.4	2698										
1972	11989	-1	17054	21316.7	2683										
1973	10652	-1	17215	20554.3	2665										
1974	9537	-1	16882	19365.7	2608										
1975	9361	-1	16615	18566.9	2569										
1976	8986	-1	16675	18508.4	2595										
1977	8649	-1	16645	18275	2629										
1978	8839	7522	17048	17967.6	2678										
1979	8183	7157	16913	17093.5	2680										
1980	7476	7073	16394	16268.5	2684										
1981	6742	6920	15548	15226.7	2668										
1982	6450	6690	14735	14624.4	2662										
1983	6340	6497	14140	14282	2667										
1984	5561	5872	13015	13691.3	2641										
1985	4777	5382	11987	13091.3	2608										
1986	4282	5033	11126	12596.2	2581										
1987	3745	4721	10510	12124.4	2555										
1988	3666	4517	10195	11854.7	2551										
1989	3696	4339	9888	11424.9	2550										
1990	3111	4147	9499	10972.7	2561										
1991	2865	4259	9091	10706.3	2592										
1992	-1	4232	8514	10252.6	2604										
1993	-1	4276	8252	9826.99	2608										
1994	-1	4286	7825	9500.05	2621										
1995	-1	4491	7477	9303.17	2656										
1996	-1	4732	7362	9237.28	2725										
1997	-1	4986	7349	9202.24	2819										
1998	-1	5371	7500	9209.29	2913										
1999	-1	-1	7669	9167.72	2982										
2000	-1	-1	7711	9178.16	3037										
2001	-1	-1	7811	9405.45	3107										
2002	-1	-1	8025	9569.44	3171										
2003	-1	-1	8448	9794.51	3230										
2004	-1	-1	8676	10072.3	3274										
2005	-1	-1	8708	10438.4	3318										
2006	-1	-1	8884	10940.5	3412										
2007	-1	-1	9528	11509.2	3571										
2008	-1	-1	10342	11985.3	3745										
2009	-1	-1	10794	12318.2	3885										
2010	-1	-1	-1	12450.3	3976										
2011	-1	-1	-1	12532.1	4032										
2012	-1	-1	-1	-1	4067										
2013	-1	-1	-1	-1	4091										
2014	-1	-1	-1	-1	4197										
2015	-1	-1	-1	-1	4516										
2016	-1	-1	-1	-1	4931										
SST															
4	1960	2012													
-1	1994	2001	2005	2013											
1960	-1	-1	126803	193829											
1961	-1	-1	126487	194482											
1962	-1	31022	126200	195155											
1963	-1	31043	126072	195936											
1964	40354	31045	125905	196651											
1965	40221	31028	125817	197381											
1966	40029	30944	125555	197911											
1967	39877	30116	124732	197868											
1968	39795	27376	123861	197719											
1969	39671	25856	122419	197036											
1970	39393	25637	122072	197135											
1971	39026	25435	121617	197055											
1972	38550	25149	121064	196791											
1973	37789	24582	119880	195917											
1974	36979	23998	117637	194081											
1975	36181	23601	116643	193168											
1976	35174	23089	115039	191680											
1977	34111	22696	114381	190888											
1978	33079	22262	113425	189805											
1979	32000	21894	112661	188837											
1980	30743	21455	111438	187481											
1981	29636	21123	110644	186446											
1982	28303	20678	109521	185043											
1983	26979	20234	108263	183398											
1984	25486	19800	106716	181155											
1985	23694	19223	104786	178502											
1986	21663	18597	102421	175663											
1987	20037	18083	100439	173463											
1988	18793	17571	98742	171458											
1989	17664	16766	97253	169218											
1990	16028	15481	94542	165731											
1991	14382	14394	92299	162644											
1992	13555	13549	90439	159961											
1993	12370	12750	88689	157451											
1994	10998	11901	86646	154669											
1995	-1	11241	84871	152212											
1996	-1	10868	83916	150769											
1997	-1	10602	83223	149580											
1998	-1	10421	82661	148571											
1999	-1	10375	82298	147720											
2000	-1	10460	82244	147177											
2001	-1	-1	82181	146679											
2002	-1	-1	82320	146395											
2003	-1	-1	82281	145965											
2004	-1	-1	82185	145493											
2005	-1	-1	82151	145047											
2006	-1	-1	-1	144680											
2007	-1	-1	-1	144319											
2008	-1	-1	-1	143841											
2009	-1	-1	-1	143121											
2010	-1	-1	-1	142330											
2011	-1	-1	-1	141628											
2012	-1	-1	-1	141166											
drkbltch															
6	1928	2014													
-1	2003	2005	2009	2011	2013	2015									
1928	-1	28539	32800	29167.2	25053.66528	19757.07782									
1929	-1	28538	32782	29149.7	25055.6855	19753.82563									
1930	-1	28535	32763	29131.3	25058.06828	19750.53275									
1931	-1	28532	32743	29111.3	25060.45597	19746.90368									
1932	-1	28532	32720	29086.8	25060.67725	19741.27984									
1933	-1	28531	32707	29072.4	25068.95247	19741.43952									
1934	-1	28530	32696	29058.7	25078.76557	19742.54369									
1935	-1	28529	32685	29046.6	25090.44401	19744.81201									
1936	-1	28527	32673	29033.1	25101.87712	19746.60739									
1937	-1	28525	32667	29025.9	25118.56373	19752.15726									
1938	-1	28524	32660	29017.2	25135.44446	19757.58121									
1939	-1	28520	32650	29006.5	25151.47602	19762.03829									
1940	-1	28513	32634	28989.2	25164.08417	19763.5142									
1941	-1	28506	32619	28963.9	25172.13196	19760.97245									
1942	-1	28499	32601	28930.7	25175.74687	19754.4105									
1943	-1	28490	32591	28891.8	25177.21048	19745.48022									
1944	-1	28452	32518	28724.3	25086.99225	19665.28316									
1945	-1	28362	32313	28353.8	24852.46917	19471.98305									
1946	-1	28127	31871	27719.2	24430.36451	19130.3789									
1947	-1	27977	31638	27358.2	24214.02356	18941.6301									
1948	-1	27895	31437	27073.3	24055.79355	18797.31315									
1949	-1	27757	31359	26933.8	24004.19178	18737.00287									
1950	-1	27615	31279	26838.6	23980.63929	18703.12396									
1951	-1	27448	31192	26736.6	23949.92183	18670.19751									
1952	-1	27229	31057	26617.3	23903.54882	18633.21244									
1953	-1	27086	30949	26496.4	23852.27824	18602.40851									
1954	-1	26954	30858	26412.6	23824.6963	18602.63048									
1955	-1	26822	30766	26305.5	23773.78639	18601.95131									
1956	-1	26702	30627	26166.9	23693.60682	18599.25984									
1957	-1	26541	30437	25950.1	23552.88429	18573.66239									
1958	-1	26362	30216	25687.6	23369.99864	18540.11928									
1959	-1	26216	30034	25488.5	23227.63528	18559.94718									
1960	-1	26082	29884	25347.3	23119.34142	18624.77286									
1961	-1	25939	29707	25155.4	22968.63099	18669.28002									
1962	-1	25862	29577	24992.2	22834.11549	18726.50279									
1963	28746	25715	29395	24813.6	22681.83768	18761.29555									
1964	28682	25528	29197	24624	22514.09127	18767.83728									
1965	28627	25468	29115	24538.2	22416.99813	18807.8857									
1966	28272	25200	28838	24254.6	22163.47754	18710.81501									
1967	24221	21110	24906	20448.6	19371.36811	16620.02102									
1968	21302	18277	22183	17758.5	17390.08191	15090.73835									
1969	19209	16180	20195	15734.3	15879.83882	13901.99837									
1970	19309	16292	20418	15710.5	15831.34802	13861.42606									
1971	19427	16356	20646	15686.1	15736.64626	13817.56281									
1972	19415	16206	20700	15562.6	15525.01246	13709.61672									
1973	19241	15907	20601	15412.6	15267.68451	13580.05053									
1974	18870	15399	20263	15113.7	14818.43481	13305.59033									
1975	18627	15026	20035	14907.8	14583.64483	13194.91276									
1976	18621	14968	19984	14892.1	14351.63474	13090.82304									
1977	18568	14934	19934	14822.9	14082.7594	12963.15824									
1978	18730	15182	20177	15072.5	14066.89054	13015.35002									
1979	18807	15173	20222	15222.8	14000.87309	12994.31307									
1980	18337	14477	19663	15105.5	13749.40613	12761.09309									
1981	18324	14273	19617	15116.8	13625.32923	12537.37427									
1982	18307	14048	19306	14887.6	13403.21163	12158.93189									
1983	17639	13977	18929	14374.1	13015.74972	11604.52538									
1984	17238	14215	18713	13800.5	12638.41003	11078.40279									
1985	16420	13985	18061	13048.6	12094.78955	10501.27468									
1986	15075	12990	16760	12019	11200.83188	9739.983677									
1987	14275	12391	15849	11602	10642.17011	9291.144341									
1988	12288	10444	13704	10296.4	9290.39225	8259.307829									
1989	11104	9259	12324	9492.7	8462.423105	7562.187835									
1990	10262	8605	11374	8836.37	7889.273432	7010.800858									
1991	9039	7536	10068	7694.64	7015.570666	6221.196339									
1992	8210	6882	9189	6848.3	6437.909742	5698.923139									
1993	7861	6673	8796	6460.68	6191.057619	5491.674534									
1994	6986	5842	7855	5734.83	5576.899764	5055.328813									
1995	6542	5342	7219	5345.23	5183.123116	4769.921525									
1996	6339	5031	6691	5002.25	4885.445917	4486.98397									
1997	6200	4974	6318	4630.15	4679.019497	4188.481751									
1998	6110	4955	5957	4137.72	4457.747719	3823.313726									
1999	5940	4644	5569	3506.31	4173.962584	3397.741448									
2000	6404	5099	5898	3353.75	4332.990126	3315.383591									
2001	7266	5808	6387	3261.53	4575.192535	3370.041312									
2002	8374	6968	7236	3383.17	4992.311164	3534.488751									
2003	-1	8298	8278	3609.7	5468.211893	3692.66159									
2004	-1	9608	9342	3946.65	5962.079861	3904.396316									
2005	-1	10417	10218	4362.89	6433.747492	4193.464281									
2006	-1	-1	11145	5057.64	6986.803316	4659.467477									
2007	-1	-1	11899	5910.63	7508.163216	5156.111939									
2008	-1	-1	12434	6766.18	7971.57876	5579.982028									
2009	-1	-1	12847	7568.02	8470.454245	5931.120001									
2010	-1	-1	-1	8231.42	8979.436025	6216.346922									
